Question,Answer
The three phases of the author’s relationship with his grandmother before he left the country to study abroad.  ,The three phases of the relationship of the author with his grandmother before leaving the country to study abroad are: (i) Early childhood – His grandmother helped him while getting ready and went to the village school along with him. (ii) Boyhood – He shared a room with his grandmother when he studied at the city school. She was not able to help him in his studies. (iii) Early youth – The link of their friendship snapped when he was provided a separate room at the university. 
Three reasons why the author’s grandmother was disturbed when he started going to the city school. ,"The three reasons why the grandmother of the author was disturbed when he went to the city school are: 1. She did not like Western learning and Science. Answer: 2. She was hurt when she came to know that there were no scriptures and teachings of God there. 3. She did not like music and thought that it was not for gentlefolk and decent people. In her opinion, it was the monopoly of beggars and prostitutes."
Three ways in which the author’s grandmother spent her days after he grew up. ,Three ways how the grandmother of the author spent her days after he grew up are: 1. She accepted the loneliness and lived unaccompanied in the room. 2. She would recite prayers while sitting at the spinning wheel. 3. She fed the sparrows for half an hour every afternoon. 
The odd way in which the author’s grandmother behaved just before she died. ,"The grandmother of the author did not speak to them before her death. The night before she died, she did not pray while singing homecoming songs and beating the drum, as she was not ready to waste time. She laid peacefully in her bed praying and telling beads and ignored the protests of her family members. "
The way in which the sparrows expressed their sorrow when the author’s grandmother died. ,"The dead body of the author’s grandmother was surrounded by thousands of sparrows which did not chirrup. They did not even notice the bread crumbs which were thrown by the author’s mother to feed them. They quietly flew away once the corpse of the grandmother was carried away. Hence, this way the sparrows expressed their sorrow when the author’s grandmother died. "
The author’s grandmother was a religious person. What are the different ways in which we come to know this?  ,"The grandmother of the author was a deeply religious person. This can be known from the different ways of her behaviour. Every morning, she visited the temple and read the scriptures. She always mumbled inaudible prayers at home and kept telling the rosary beads. She constantly repeated prayers like a song while helping the author get ready for school. She wished that the author would learn it by heart. She did not like the English school as there was no teaching of scriptures and God. She would recite prayers even while spinning in her spinning wheel. Once, she forgot to say her prayers. Prior to her death, she felt over-excited in the evening while celebrating her grandson’s arrival with beatings of drums and songs. She continued telling beads of rosary and praying till her last breath. "
 Describe the changing relationship between the author and his grandmother. Did their feelings for each other change?  ,"The author was entirely dependent on his grandmother during his boyhood. She was an important part of his life. However, a turning point came in their friendship when they moved to the city. As he went to school by bus, she was not able to accompany him. She could not help him in his studies though they shared the same room. She used to ask him what his teachers taught him and did not believe in the things which were taught at school. She was pained that he was not taught about scriptures and God. As music was being taught, she felt offended and expressed her disapproval silently. She rarely spoke to the author after this. The link of their friendship was snapped as he was given a separate room when he went to the university. However, their feelings towards each other did not change. They loved one another deeply. When he left the country and moved abroad for higher studies, she went to the railway station to send him off. She quietly kissed his forehead and showed no emotion. This was valued by the author as it was the last sign of physical interaction between them. After five years, when the author returned, she received him at the station. She clasped the author in her arms and celebrated his homecoming in the evening by beating an old drum and singing songs. "
"Would you agree that the author’s grandmother was a person strong in character? If yes, give instances that show this.  ","Yes, I agree that the grandmother of the author was a person with a strong character. She was a woman with strong beliefs. Though she was not educated formally, she was serious about the education of the author. She was not able to adjust herself to the western lifestyle, English and Science education. She did not like music and disapproved of its teaching in schools. She was a religious woman whose lips were always moving in a silent prayer and was telling the beads of her rosary. She daily went to the temple and read scriptures. When she got to know that there was no teaching of scriptures and God at New English School of Khushwant, she was distressed. 
She was a kind woman who used to feed the dogs in the village. She was feeding sparrows in the city. Though weak in body and old in age, she had a strong mind. She refused to talk to the family members before her death as she was not ready to waste her time. She wanted to make up the time she did not pray to God the previous evening. She laid peacefully in bed telling the beads of rosary and saying prayers until her last breath. "
Have you known someone like the author’s grandmother? Do you feel the same sense of loss with regard to someone whom you have loved and lost? ,"Yes, my grandfather had looked after me and loved me deeply. Before retirement, he served in the army 20 years as a Colonel. He was still smart and active when I was a school-going kid. He was more interested in jogging, walking and playing games outdoors. He used to inspire us by waking up early in the morning. He believed that a healthy body comes from a healthy mind. He taught us a few physical exercises followed by nourishing food and milk and asked us to study for some time before going to school. He used to enquire about what we had been taught at school, in the afternoon. He helped us while doing our homework and supervised our writing, reading and solving problems. He was gentle, but firm and stressed on the building of good character and habits. When I left the country for higher studies, he passed away. When I see his photograph on the wall, a sense of loss fills my heart. But his looks cheer me to stay strong and fight the struggles of life. "
Which language do you think the author and his grandmother used while talking to each other?  ,"The grandmother of the author was not educated. I think the author and his grandmother used Punjabi, which was their mother tongue while talking to each other. "
 Which language do you use to talk to elderly relatives in your family? ,The elderly relatives in my family are well versed in Hindi and English. I greet them in English and converse with them in Hindi. 
How would you say ‘a dilapidated drum’ in your language?  ,‘Phata-purana dhol’ is the expression used to say ‘a dilapidated drum’ in my language.
Can you think of a song or a poem in your language that talks of homecoming? ,There are numerous poems and folk songs that sing of the exploits of the brave warriors. All these talks of the homecoming of the warriors after winning a war. 
" Notice the following uses of the word ‘tell’ in the text.  1. Her fingers were busy telling the beads of her rosary.  2. I would tell her English words and little things of Western science and learning.  3. At her age one could never tell.   4. She told us that her end was near. 
Given below are four different senses of the word ‘tell’. Match the meanings to the uses listed above.  1. make something known to someone in spoken or written words  2. count while reciting  3. be sure  4. give information to somebody",Phrases                              Meaning 1. telling the beads                 count while reciting 2. tell her                                 give information to somebody 3. one could never tell           be sure 4. told us                                 make something known to someone in spoken or written words 
Notice the different senses of the word ‘take’.  1. to take to something: to begin to do something as a habit  2. to take ill: to suddenly become ill  Locate these phrases in the text and notice the way they are used.  ,"In the text, these phrases are used as follows: 1. to take to: She took to feeding sparrows in the courtyard of our city house. 2. take ill: The next morning she was taken ill. "
The word ‘hobble’ means to walk with difficulty because the legs and feet are in bad condition.  Tick the words in the box below that also refer to a manner of walking. haggle                         shuffle                      stride                      ride                           waddle wriggle                        paddle                      swagger                 trudge                       slog ,The words in the box that also refer to a manner of walking are: shuffle stride swagger waddle trudge 
