Question,Answer
"1. Which of the following are matter? NCERT Solutions for Class 9 Science Chapter 1 Matter in Our Surroundings Page: 3 Chair, air, love, smell, hate, almonds, thought, cold, lemon water, the smell of perfume.","The following substances are matter: Chair, Air, Almonds, Lemon water, The smell of perfume (Smell is considered as a matter due to the presence of some volatile substances in the air that occupy space and have mass.)"
"2. Give reasons for the following observation: The smell of hot sizzling food reaches you several meters away, but to get the smell from cold food, you have to go close.","Particles in the air, if fuelled with higher temperatures, acquire high kinetic energy, which aids them to move fast over a stretch. Hence, the smell of hot sizzling food reaches a person even at a distance of several meters."
3. A diver is able to cut through water in a swimming pool. Which property of matter does this observation show?,The diver can cut through the water in the swimming pool because of the weak forces of attraction between water molecules. It is this property of water that attributes to easy diving.
4. What are the characteristics of the particles of matter?,(a) Presence of intermolecular spaces between particles (b) Particles are in constant motion (c) They attract each other (d) All matter is composed of very small particles that can exist independently.
"5. The mass per unit volume of a substance is called density. (Density=Mass/Volume). Arrange the following in the order of increasing density – air, exhaust from chimneys, honey, water, chalk, cotton, iron.","The following substances are arranged in increasing density: Air, Exhaust from chimneys, Cotton, Water, Honey, Chalk, Iron"
6. a) Tabulate the differences in the characteristics of matter.,"Solid: Fixed shape, Fixed volume, Maximum intermolecular force, Very less intermolecular space. Liquid: No fixed shape, Fixed volume, Less intermolecular force than solids, More intermolecular space than solids. Gas: No fixed shape, No fixed volume, Very less intermolecular force, Maximum intermolecular space."
"b) Comment upon the following: rigidity, compressibility, fluidity, filling a gas container, shape, kinetic energy and density.",(i) Rigidity: The ability of matter to maintain its shape when treated with external force. (ii) Compressibility: The capacity of particles to reduce intermolecular space when exposed to external force. (iii) Fluidity: The ability of a substance to flow. (iv) Filling a gas container: Gas particles take the shape of the container. (v) Shape: The definite structure of matter. (vi) Kinetic energy: Energy due to motion. (vii) Density: Mass per unit volume.
"7. Give reasons: a) A gas fills completely the vessel in which it is kept. b) A gas exerts pressure on the walls of the container. c) A wooden table should be called a solid. d) We can easily move our hand in the air, but to do the same through a solid block of wood, we need a karate expert.","(a) Low force of attraction between gas particles allows them to move freely. (b) Gas particles collide with the container’s walls, exerting pressure. (c) A wooden table has a definite shape and volume, with tightly packed particles. (d) The air has loosely bound particles, while a solid block has particles with strong forces of attraction, needing more force to move through."
8. Liquids generally have a lower density than solids. But you must have observed that ice floats on water. Find out why.,"Ice floats on water because it is less dense than water. The density of water is highest at 4 degrees Celsius, and ice, being lighter than water, floats on it."
What is meant by a substance?,A substance is a pure single form of matter. It has definite properties and compositions. Example: Iron.
